,Image 1,Image 2,Image 3,Image 4
ReLU,0.30242908000946045,0.3063373565673828,0.36273980140686035,0.3593749403953552
LeakyReLU,0.30552998185157776,0.3100086748600006,0.36393511295318604,0.3626309037208557
PReLU,0.40342977643013,0.4179443120956421,0.42393970489501953,0.45984792709350586
ELU,0.5676926374435425,0.6227331161499023,0.46995747089385986,0.641817569732666
SELU,0.935461699962616,1.0480042695999146,0.6704102158546448,1.0239129066467285
GELU,0.2994731366634369,0.3102155327796936,0.3583697974681854,0.37014496326446533
Swish,0.26849257946014404,0.28725937008857727,0.3333077132701874,0.3398784399032593
Mish,0.3448657691478729,0.36998385190963745,0.3677292764186859,0.4200468063354492
GoLUCUDA,0.2132779061794281,0.21505293250083923,0.321393221616745,0.27828696370124817
