,Image 1,Image 2,Image 3,Image 4
ReLU,0.3910753130912781,0.42630669474601746,0.23895291984081268,0.401313453912735
LeakyReLU,0.38716456294059753,0.4220436215400696,0.23656339943408966,0.3973003029823303
PReLU,0.29330649971961975,0.3197300434112549,0.1792147010564804,0.30098506808280945
ELU,0.16685859858989716,0.17368504405021667,0.1356738954782486,0.15527987480163574
SELU,0.016707977280020714,0.0037869224324822426,0.06949329376220703,-0.010890979319810867
GELU,0.27824267745018005,0.3033382296562195,0.18108567595481873,0.27736449241638184
Swish,0.20502431690692902,0.21651789546012878,0.15599729120731354,0.2035975605249405
Mish,0.24065333604812622,0.25564146041870117,0.17247557640075684,0.23548653721809387
GoLUCUDA,0.25086063146591187,0.27744820713996887,0.16423949599266052,0.25717735290527344
